Country,Failures,Instances,Total,Prop
United Kingdom,Yes,4198,5235,0.8019102196752627
Yemen,Yes,2837,3347,0.8476247385718554
India,Yes,10265,11960,0.8582775919732442
Philippines,Yes,5948,6908,0.8610306890561668
Afghanistan,Yes,11135,12731,0.8746367135338936
Pakistan,Yes,12580,14368,0.8755567928730512
Iraq,Yes,21846,24636,0.8867510959571359
Turkey,Yes,3908,4292,0.9105312208760484
Somalia,Yes,3800,4142,0.9174311926605505
Nigeria,Yes,3591,3907,0.9191195290504223
Colombia,Yes,7701,8306,0.9271610883698531
Sri Lanka,Yes,2836,3022,0.9384513567174056
Thailand,Yes,3618,3849,0.9399844115354637
Peru,Yes,5755,6096,0.9440616797900262
El Salvador,Yes,5227,5320,0.9825187969924812
